GS,BB,RBI,R,HR,InnOuts,ADJ Salary,ADJ Salary Group
52.0,21,22.0,29,5,1373.0,160576,0
49.0,1,0.0,3,0,1315.0,157034,0
49.0,12,28.0,17,5,1315.0,157034,0
116.0,71,32.0,65,2,3136.0,141684,0
72.0,42,19.0,38,0,1900.0,1416848,1
94.0,22,63.0,42,14,2470.0,2066237,1
73.0,21,38.0,28,13,1784.0,141684,0
73.0,3,4.0,2,1,1784.0,141684,0
73.0,21,38.0,28,13,1784.0,6611959,2
73.0,3,4.0,2,1,1784.0,6611959,2
4.0,0,1.0,0,0,97.0,188913,0
150.0,12,47.0,58,2,3967.0,354212,0
21.0,26,26.0,32,5,583.0,369955,0
6.0,1,0.0,2,0,227.0,472282,0
137.0,21,44.0,53,17,3668.0,460475,0
35.0,9,13.0,13,4,900.0,141684,0
21.0,28,48.0,34,17,507.0,944565,0
21.0,7,12.0,8,4,507.0,944565,0
45.0,16,17.0,18,4,1175.0,141684,0
23.0,11,4.0,6,0,628.0,354212,0
100.0,9,20.0,17,4,2591.0,177106,0
100.0,7,17.0,6,1,2591.0,177106,0
74.0,29,51.0,37,13,1976.0,944565,0
11.0,18,9.0,15,1,492.0,773363,0
75.0,44,36.0,42,13,1774.0,3305979,1
141.0,41,74.0,61,21,3779.0,1967844,1
82.0,22,18.0,32,4,2276.0,1318455,1
148.0,21,68.0,66,17,3938.0,236141,0
133.0,67,65.0,66,20,3535.0,2322056,1
16.0,6,8.0,13,2,631.0,590353,0
18.0,1,4.0,4,0,529.0,141684,0
18.0,2,10.0,4,2,529.0,141684,0
63.0,31,22.0,38,6,1615.0,1157092,1
63.0,12,13.0,11,1,1615.0,1157092,1
4.0,2,0.0,1,0,120.0,141684,0
104.0,60,46.0,49,21,2337.0,2007202,1
151.0,53,79.0,72,12,4030.0,1794674,1
70.0,26,32.0,37,5,1891.0,2007202,1
153.0,46,76.0,68,14,4110.0,1570340,1
30.0,15,23.0,21,6,1151.0,649388,0
33.0,16,19.0,22,1,1059.0,1298777,1
150.0,73,75.0,89,20,4034.0,2054430,1
31.0,21,16.0,14,2,968.0,242044,0
77.0,26,30.0,42,3,2087.0,2172501,1
42.0,22,23.0,34,6,1052.0,141684,0
109.0,68,71.0,97,27,2963.0,212527,0
129.0,40,56.0,50,10,3358.0,1830096,1
90.0,47,41.0,35,12,2386.0,643485,0
16.0,9,10.0,16,2,474.0,141684,0
36.0,9,19.0,27,3,975.0,141684,0
98.0,36,47.0,70,15,2808.0,826494,0
148.0,52,44.0,52,8,3999.0,1534919,1
157.0,56,116.0,89,31,4197.0,2597555,1
49.0,25,29.0,14,2,1220.0,649388,0
61.0,30,25.0,15,0,1561.0,2361414,1
64.0,30,26.0,31,0,1811.0,141684,0
2.0,1,0.0,0,0,78.0,354212,0
19.0,17,15.0,17,2,747.0,531318,0
91.0,14,29.0,30,1,2378.0,141684,0
72.0,22,26.0,28,2,1965.0,531318,0
144.0,53,73.0,88,17,3790.0,1369620,1
151.0,70,51.0,92,4,3986.0,2007202,1
160.0,32,121.0,108,29,4244.0,448668,0
31.0,9,32.0,34,8,691.0,419151,0
144.0,32,74.0,80,10,3731.0,1357813,1
113.0,33,77.0,68,18,2819.0,826494,0
155.0,56,80.0,83,17,4139.0,1033118,1
8.0,2,5.0,3,0,318.0,141684,0
19.0,13,8.0,33,0,898.0,230237,0
102.0,16,69.0,58,24,2721.0,141684,0
101.0,29,48.0,61,6,2676.0,932758,0
28.0,21,9.0,14,1,837.0,747781,0
66.0,20,25.0,42,3,1812.0,767459,0
130.0,45,86.0,67,20,3477.0,177106,0
89.0,44,27.0,44,1,2329.0,1652989,1
99.0,91,85.0,78,29,2625.0,1873387,1
113.0,68,86.0,84,28,2960.0,2833697,1
11.0,28,51.0,32,13,312.0,590353,0
71.0,27,37.0,33,8,1892.0,1623472,1
22.0,5,8.0,6,3,611.0,171202,0
22.0,5,8.0,7,3,611.0,171202,0
111.0,39,53.0,45,12,3005.0,1649615,1
45.0,17,18.0,21,3,1234.0,147588,0
82.0,38,62.0,53,22,2152.0,2007202,1
67.0,21,19.0,41,6,1848.0,354212,0
17.0,3,8.0,6,3,494.0,141684,0
17.0,12,22.0,12,2,494.0,141684,0
129.0,38,29.0,39,3,3486.0,649388,0
129.0,14,14.0,22,0,3486.0,649388,0
145.0,59,75.0,107,21,3834.0,1339259,1
136.0,63,73.0,95,20,3622.0,1582147,1
86.0,39,38.0,24,7,2262.0,1239742,1
154.0,38,79.0,83,20,4100.0,732038,0
131.0,55,72.0,48,10,3320.0,1782867,1
156.0,64,101.0,91,31,4070.0,283369,0
143.0,81,37.0,92,6,3734.0,1298777,1
80.0,30,41.0,43,9,2109.0,1416848,1
101.0,22,36.0,55,6,2774.0,188913,0
30.0,24,6.0,9,1,791.0,141684,0
17.0,11,7.0,12,1,556.0,200720,0
39.0,15,14.0,17,3,992.0,2007202,1
78.0,12,41.0,32,6,2136.0,983923,0
76.0,29,21.0,24,3,2106.0,1416848,1
88.0,36,58.0,54,13,2500.0,865852,0
136.0,43,88.0,54,29,3612.0,1239742,1
67.0,15,8.0,24,2,1814.0,389633,0
115.0,80,73.0,70,16,2976.0,3474653,1
9.0,6,1.0,1,0,501.0,436861,0
53.0,12,14.0,25,3,1410.0,141684,0
73.0,29,36.0,42,1,1936.0,850109,0
30.0,3,7.0,7,0,958.0,693802,0
56.0,17,26.0,24,8,1506.0,354212,0
98.0,7,24.0,24,0,2494.0,177106,0
118.0,46,44.0,80,8,2901.0,2361414,1
124.0,57,42.0,41,12,3301.0,1542305,1
144.0,43,84.0,76,22,3805.0,1145285,1
149.0,31,44.0,77,9,3917.0,2774661,1
57.0,22,15.0,31,1,1693.0,472282,0
84.0,37,52.0,33,16,2220.0,767459,0
64.0,14,29.0,27,2,1622.0,1062636,1
20.0,7,6.0,5,0,533.0,472282,0
106.0,30,30.0,47,8,2780.0,354212,0
23.0,7,6.0,15,2,815.0,153491,0
13.0,2,10.0,7,5,252.0,3235137,1
31.0,2,19.0,22,5,1086.0,141684,0
62.0,22,29.0,34,4,1737.0,1505401,1
102.0,30,60.0,38,10,2326.0,1987524,1
86.0,27,53.0,47,19,2381.0,1534919,1
52.0,21,28.0,26,9,1300.0,519511,0
42.0,15,18.0,21,0,1412.0,1062636,1
154.0,59,56.0,91,6,4099.0,1380539,1
108.0,62,26.0,36,5,2883.0,1889131,1
111.0,37,58.0,55,23,2944.0,153491,0
50.0,27,26.0,31,4,1367.0,966963,0
88.0,23,32.0,35,4,2404.0,141684,0
47.0,11,15.0,20,3,1237.0,153491,0
150.0,53,75.0,69,23,3966.0,1747446,1
87.0,39,45.0,50,7,2178.0,519511,0
16.0,1,1.0,4,0,448.0,141684,0
155.0,52,108.0,91,34,4094.0,1216128,1
152.0,30,54.0,63,12,3889.0,236141,0
46.0,19,32.0,40,3,1344.0,1574276,1
143.0,71,91.0,85,29,3764.0,2503099,1
57.0,24,29.0,21,10,1445.0,366019,0
140.0,52,33.0,53,8,3680.0,177106,0
157.0,34,96.0,119,31,4155.0,602160,0
49.0,16,9.0,13,2,1317.0,141684,0
56.0,18,33.0,28,8,1536.0,271562,0
12.0,68,57.0,59,20,378.0,1747446,1
54.0,11,18.0,19,4,1426.0,141684,0
66.0,15,18.0,22,4,1742.0,1593954,1
89.0,41,75.0,46,12,2402.0,1434138,1
133.0,72,86.0,75,33,3514.0,224334,0
133.0,26,38.0,58,7,3551.0,2095755,1
52.0,17,27.0,31,8,1570.0,1168900,1
95.0,40,55.0,62,9,2514.0,2739240,1
66.0,21,39.0,24,3,1755.0,950469,0
49.0,30,53.0,31,5,1138.0,1810243,1
138.0,54,47.0,69,9,3704.0,413247,0
